LineId,Date,Time,Level,Component,Content,EventId,EventTemplate
35,2019-02-27,18:46:05.322,INFO,[control.hive.hivecontroller],hivecontroller.cpp:1676 Hive 4366eca1-5f1c-44ae-a497-8992b5d91b6b with HmsObjId  is HA compliant,8c79f90f,<*> <*> <*> <*> <*> <*>
36,2019-02-27,18:46:05.322,INFO,[control.hive.hivecontroller],hivecontroller.cpp:1811 [4366eca1-5f1c-44ae-a497-8992b5d91b6b] Replica set changed from 1|36:a625d351-ee43-4269-9bd9-28325a20cd78| to 2|36:5b2ac51c-3875-41a5-948e-9897c919e611|36:a625d351-ee43-4269-9bd9-28325a20cd78|,8c79f90f,<*> <*> <*> <*> <*> <*>
37,2019-02-27,18:46:05.323,INFO,[control.hive.hivecontroller],hivecontroller.cpp:1348 [4366eca1-5f1c-44ae-a497-8992b5d91b6b] Global ownership fence disabled,8c79f90f,<*> <*> <*> <*> <*> <*>
38,2019-02-27,18:46:09.317,INFO,[control.hive.hivecontroller],hivecontroller.cpp:1717 Hive 5b173917-a45b-45c4-8e89-bf5758194d46 (00001111-2222-3333-4444-555566667890/10.1.133.184) with HmsObjId : ZONE_NOT_APPLICABLE,8c79f90f,<*> <*> <*> <*> <*> <*>
39,2019-02-27,18:46:09.317,INFO,[control.hive.hivecontroller],hivecontrollerprimaryrole.cpp:500 [5b173917-a45b-45c4-8e89-bf5758194d46] zone compliance set to ZONE_NOT_APPLICABLE,8c79f90f,<*> <*> <*> <*> <*> <*>
40,2019-02-27,18:46:10.325,INFO,[control.hive.hivecontroller],hivecontroller.cpp:1717 Hive 4366eca1-5f1c-44ae-a497-8992b5d91b6b (00001111-2222-3333-4444-555566667890/metrics-data) with HmsObjId : ZONE_NOT_APPLICABLE,8c79f90f,<*> <*> <*> <*> <*> <*>
41,2019-02-27,18:46:10.325,INFO,[control.hive.hivecontroller],hivecontrollerprimaryrole.cpp:500 [4366eca1-5f1c-44ae-a497-8992b5d91b6b] zone compliance set to ZONE_NOT_APPLICABLE,8c79f90f,<*> <*> <*> <*> <*> <*>
42,2019-02-27,18:48:51.080,INFO,[control.hive.hivecontroller],hivecontroller.cpp:1857 [3e36bf6a-a78d-4609-ad46-c275ee57d08d] Cleared our role (was None),8c79f90f,<*> <*> <*> <*> <*> <*>
43,2019-02-27,18:48:51.169,INFO,[control.hive.hivecontroller],hivecontroller.cpp:1857 [fefb1cfc-fb5a-4373-ad74-abd96de82bba] Cleared our role (was None),8c79f90f,<*> <*> <*> <*> <*> <*>
44,2019-02-27,18:48:51.256,INFO,[control.hive.hivecontroller],hivecontroller.cpp:1857 [954f3d28-554b-4496-b00e-93c2d635c278] Cleared our role (was None),8c79f90f,<*> <*> <*> <*> <*> <*>
45,2019-02-27,18:48:51.344,INFO,[control.hive.hivecontroller],hivecontroller.cpp:1857 [7a539640-3243-4d1f-b7a4-7772944820b4] Cleared our role (was None),8c79f90f,<*> <*> <*> <*> <*> <*>
46,2019-02-27,18:48:52.082,INFO,[control.hive.hivecontroller],hivecontrollerprimaryrole.cpp:431 [3e36bf6a-a78d-4609-ad46-c275ee57d08d] This node is the hive owner # 1,8c79f90f,<*> <*> <*> <*> <*> <*>
47,2019-02-27,18:48:52.083,INFO,[control.hive.hivecontroller],hivecontroller.cpp:1676 Hive 3e36bf6a-a78d-4609-ad46-c275ee57d08d with HmsObjId  is not HA compliant,8c79f90f,<*> <*> <*> <*> <*> <*>
48,2019-02-27,18:48:52.084,INFO,[control.hive.hivecontroller],hivecontroller.cpp:1773 Hive 3e36bf6a-a78d-4609-ad46-c275ee57d08d with HmsObjId  data access is optimized,8c79f90f,<*> <*> <*> <*> <*> <*>
49,2019-02-27,18:48:52.086,INFO,[control.hive.hivecontroller],hivecontroller.cpp:1717 Hive 3e36bf6a-a78d-4609-ad46-c275ee57d08d (SS_DS/.vSphere-HA) with HmsObjId : ZONE_NOT_APPLICABLE,8c79f90f,<*> <*> <*> <*> <*> <*>
50,2019-02-27,18:48:52.086,INFO,[control.hive.hivecontroller],hivecontrollerprimaryrole.cpp:500 [3e36bf6a-a78d-4609-ad46-c275ee57d08d] zone compliance set to ZONE_NOT_APPLICABLE,8c79f90f,<*> <*> <*> <*> <*> <*>
51,2019-02-27,18:48:52.171,INFO,[control.hive.hivecontroller],hivecontrollerprimaryrole.cpp:431 [fefb1cfc-fb5a-4373-ad74-abd96de82bba] This node is the hive owner # 1,8c79f90f,<*> <*> <*> <*> <*> <*>
52,2019-02-27,18:48:52.172,INFO,[control.hive.hivecontroller],hivecontroller.cpp:1676 Hive fefb1cfc-fb5a-4373-ad74-abd96de82bba with HmsObjId  is not HA compliant,8c79f90f,<*> <*> <*> <*> <*> <*>
53,2019-02-27,18:48:52.173,INFO,[control.hive.hivecontroller],hivecontroller.cpp:1773 Hive fefb1cfc-fb5a-4373-ad74-abd96de82bba with HmsObjId  data access is optimized,8c79f90f,<*> <*> <*> <*> <*> <*>
54,2019-02-27,18:48:52.175,INFO,[control.hive.hivecontroller],hivecontroller.cpp:1717 Hive fefb1cfc-fb5a-4373-ad74-abd96de82bba (SS_DS/.iorm.sf) with HmsObjId : ZONE_NOT_APPLICABLE,8c79f90f,<*> <*> <*> <*> <*> <*>
55,2019-02-27,18:48:52.175,INFO,[control.hive.hivecontroller],hivecontrollerprimaryrole.cpp:500 [fefb1cfc-fb5a-4373-ad74-abd96de82bba] zone compliance set to ZONE_NOT_APPLICABLE,8c79f90f,<*> <*> <*> <*> <*> <*>
56,2019-02-27,18:48:52.258,INFO,[control.hive.hivecontroller],hivecontrollerprimaryrole.cpp:431 [954f3d28-554b-4496-b00e-93c2d635c278] This node is the hive owner # 1,8c79f90f,<*> <*> <*> <*> <*> <*>
57,2019-02-27,18:48:52.259,INFO,[control.hive.hivecontroller],hivecontroller.cpp:1676 Hive 954f3d28-554b-4496-b00e-93c2d635c278 with HmsObjId  is not HA compliant,8c79f90f,<*> <*> <*> <*> <*> <*>
58,2019-02-27,18:48:52.260,INFO,[control.hive.hivecontroller],hivecontroller.cpp:1773 Hive 954f3d28-554b-4496-b00e-93c2d635c278 with HmsObjId  data access is optimized,8c79f90f,<*> <*> <*> <*> <*> <*>
59,2019-02-27,18:48:52.262,INFO,[control.hive.hivecontroller],hivecontroller.cpp:1717 Hive 954f3d28-554b-4496-b00e-93c2d635c278 (SS_DS/.dvsData) with HmsObjId : ZONE_NOT_APPLICABLE,8c79f90f,<*> <*> <*> <*> <*> <*>
60,2019-02-27,18:48:52.262,INFO,[control.hive.hivecontroller],hivecontrollerprimaryrole.cpp:500 [954f3d28-554b-4496-b00e-93c2d635c278] zone compliance set to ZONE_NOT_APPLICABLE,8c79f90f,<*> <*> <*> <*> <*> <*>
61,2019-02-27,18:48:52.345,INFO,[control.hive.hivecontroller],hivecontrollerprimaryrole.cpp:431 [7a539640-3243-4d1f-b7a4-7772944820b4] This node is the hive owner # 1,8c79f90f,<*> <*> <*> <*> <*> <*>
62,2019-02-27,18:48:52.346,INFO,[control.hive.hivecontroller],hivecontroller.cpp:1676 Hive 7a539640-3243-4d1f-b7a4-7772944820b4 with HmsObjId  is not HA compliant,8c79f90f,<*> <*> <*> <*> <*> <*>
63,2019-02-27,18:48:52.347,INFO,[control.hive.hivecontroller],hivecontroller.cpp:1773 Hive 7a539640-3243-4d1f-b7a4-7772944820b4 with HmsObjId  data access is optimized,8c79f90f,<*> <*> <*> <*> <*> <*>
64,2019-02-27,18:48:52.349,INFO,[control.hive.hivecontroller],hivecontroller.cpp:1717 Hive 7a539640-3243-4d1f-b7a4-7772944820b4 (SS_DS/.) with HmsObjId : ZONE_NOT_APPLICABLE,8c79f90f,<*> <*> <*> <*> <*> <*>
65,2019-02-27,18:48:52.349,INFO,[control.hive.hivecontroller],hivecontrollerprimaryrole.cpp:500 [7a539640-3243-4d1f-b7a4-7772944820b4] zone compliance set to ZONE_NOT_APPLICABLE,8c79f90f,<*> <*> <*> <*> <*> <*>
66,2019-02-27,18:48:54.427,INFO,[control.hive.hivecontroller],hivecontrollerprimaryrole.cpp:1216 [3e36bf6a-a78d-4609-ad46-c275ee57d08d] Subordinate 5b2ac51c-3875-41a5-948e-9897c919e611 role is TERTIARY,8c79f90f,<*> <*> <*> <*> <*> <*>
67,2019-02-27,18:48:54.438,INFO,[control.hive.hivecontroller],hivecontrollerprimaryrole.cpp:1216 [fefb1cfc-fb5a-4373-ad74-abd96de82bba] Subordinate 5b2ac51c-3875-41a5-948e-9897c919e611 role is TERTIARY,8c79f90f,<*> <*> <*> <*> <*> <*>
68,2019-02-27,18:48:54.447,INFO,[control.hive.hivecontroller],hivecontrollerprimaryrole.cpp:1216 [954f3d28-554b-4496-b00e-93c2d635c278] Subordinate 5b2ac51c-3875-41a5-948e-9897c919e611 role is TERTIARY,8c79f90f,<*> <*> <*> <*> <*> <*>
69,2019-02-27,18:48:54.455,INFO,[control.hive.hivecontroller],hivecontrollerprimaryrole.cpp:1216 [7a539640-3243-4d1f-b7a4-7772944820b4] Subordinate 5b2ac51c-3875-41a5-948e-9897c919e611 role is TERTIARY,8c79f90f,<*> <*> <*> <*> <*> <*>
70,2019-02-27,18:48:55.440,INFO,[control.hive.hivecontroller],hivecontrollerprimaryrole.cpp:1198 [3e36bf6a-a78d-4609-ad46-c275ee57d08d] Subordinate 5b2ac51c-3875-41a5-948e-9897c919e611 syncState changing to IN_SYNC,8c79f90f,<*> <*> <*> <*> <*> <*>
71,2019-02-27,18:48:55.440,INFO,[control.hive.hivecontroller],hivecontroller.cpp:1348 [3e36bf6a-a78d-4609-ad46-c275ee57d08d] Global ownership fence electrified,8c79f90f,<*> <*> <*> <*> <*> <*>
72,2019-02-27,18:48:55.440,INFO,[control.hive.hivecontroller],hivecontrollerprimaryrole.cpp:1279 [3e36bf6a-a78d-4609-ad46-c275ee57d08d] Subordinate 5b2ac51c-3875-41a5-948e-9897c919e611 role changing to UNCERTAIN,8c79f90f,<*> <*> <*> <*> <*> <*>
73,2019-02-27,18:48:55.451,INFO,[control.hive.hivecontroller],hivecontrollerprimaryrole.cpp:1198 [fefb1cfc-fb5a-4373-ad74-abd96de82bba] Subordinate 5b2ac51c-3875-41a5-948e-9897c919e611 syncState changing to IN_SYNC,8c79f90f,<*> <*> <*> <*> <*> <*>
74,2019-02-27,18:48:55.451,INFO,[control.hive.hivecontroller],hivecontroller.cpp:1348 [fefb1cfc-fb5a-4373-ad74-abd96de82bba] Global ownership fence electrified,8c79f90f,<*> <*> <*> <*> <*> <*>
75,2019-02-27,18:48:55.451,INFO,[control.hive.hivecontroller],hivecontrollerprimaryrole.cpp:1279 [fefb1cfc-fb5a-4373-ad74-abd96de82bba] Subordinate 5b2ac51c-3875-41a5-948e-9897c919e611 role changing to UNCERTAIN,8c79f90f,<*> <*> <*> <*> <*> <*>
76,2019-02-27,18:48:55.454,INFO,[control.hive.hivecontroller],hivecontrollerprimaryrole.cpp:1298 [3e36bf6a-a78d-4609-ad46-c275ee57d08d] Subordinate 5b2ac51c-3875-41a5-948e-9897c919e611 role changing to SECONDARY,8c79f90f,<*> <*> <*> <*> <*> <*>
77,2019-02-27,18:48:55.455,INFO,[control.hive.hivecontroller],hivecontroller.cpp:1676 Hive 3e36bf6a-a78d-4609-ad46-c275ee57d08d with HmsObjId  is HA compliant,8c79f90f,<*> <*> <*> <*> <*> <*>
